bolci	gismu   	-bol-   	-boi-	      	x_1 is a ball or sphere made of x_2
bongu	gismu   	-bog-   	-bo'u-	      	x_1 is a bone performing function x_2 in the body of x_3
botpi	gismu   	-bot-   	-bo'i-	      	x_1 is a bottle, jar, or flask for x_2 made of x_3 with lid x_4
boxfo	gismu   	-bof-   	-bo'o-	      	x_1 is a sheet or blanket made of x_3
boxna	gismu   	-bon-   	-bo'a-	      	x_1 is a wave in x_2 with wave-form x_3, wavelength x_4, and frequency x_5
bradi	gismu			      	x_1 is an enemy of x_2 in struggle x_3
bratu	gismu			      	x_1 is hail or sleet of material x_2
brazo	gismu   	-raz-		      	x_1 is Brazilian in aspect x_2
bredi	gismu   	-red-   	-bre-	      	x_1 is ready for x_2
bridi	gismu   	-bri-		      	x_1 is a predicate with relationship x_2 among arguments x_3
brife	gismu   	-bif-   	-bi'e-	      	x_1 is wind from direction x_2 with speed x_3
briju	gismu   	-bij-		      	x_1 is an office or bureau of worker x_2 at location x_3
brito	gismu   	-rit-		      	x_1 is British in aspect x_2
broda	gismu   	-rod-		      	x_1 is the predicate variable 1
brode	gismu   	-bo'e-		      	x_1 is the predicate variable 2
brodi	gismu			      	x_1 is the predicate variable 3
brodo	gismu			      	x_1 is the predicate variable 4
brodu	gismu			      	x_1 is the predicate variable 5
bruna	gismu   	-bun-   	-bu'a-	      	x_1 is a brother of x_2 by bond x_3
budjo	gismu   	-buj-   	-bu'o-	      	x_1 is Buddhist in aspect x_2
bukpu	gismu   	-buk-   	-bu'u-	      	x_1 is a quantity of cloth made of x_2
bumru	gismu   	-bum-		      	x_1 is covered by a fog or mist of liquid x_2
bunda	gismu   	-bud-		      	x_1 is x_2 non-metric weight units in standard x_3 with subunits x_4
bunre	gismu   	-bur-   	-bu'e-	      	x_1 is brown
burcu	gismu   	-bru-		      	x_1 is a brush for x_2 with bristles x_3
burna	gismu			      	x_1 is embarrassed about x_2
cabna	gismu   	-cab-		      	x_1 is current with x_2 in time
cabra	gismu   	-ca'a-		      	x_1 is apparatus for function x_2 controlled by x_3
cacra	gismu			      	x_1 is x_2 hours in duration
cadzu	gismu   	-dzu-		      	x_1 walks on surface x_2 using limbs x_3
cafne	gismu   	-caf-		      	x_1 (nu) occurs frequently
cagna	experimental gismu			      	x_1 is a wound on body x_2 at locus x_3 caused by x_4
cakla	gismu			      	x_1 is made of or contains a quantity of chocolate or cocoa
calku	gismu   	-cak-		      	x_1 is a shell or husk around x_2 made of x_3
canci	gismu			      	x_1 vanishes from location x_2 using senses or sensor x_3
cando	gismu   	-cad-		      	x_1 is idle or at rest
cange	gismu   	-cag-		      	x_1 is a farm or ranch at x_2 farmed by x_3 that raises or produces x_4
canja	gismu   	-caj-		      	x_1 trades x_2 for x_3 with x_4
canko	gismu   	-ca'o-		      	x_1 is a window or portal in wall or building x_2
canlu	gismu   	-cal-   	-ca'u-	      	x_1 is a space or room occupied by x_2
canpa	gismu   	-cna-		      	x_1 is a shovel or spade for digging x_2
canre	gismu   	-can-		      	x_1 is a quantity of sand or grit from x_2 of composition x_3
canti	gismu			      	x_1 is the intestines or guts of x_2
carce	gismu			      	x_1 is a carriage or wagon for carrying x_2 propelled by x_3
carmi	gismu   	-cam-   	-cai-	      	x_1 is bright or intense in property x_2 as measured by observer x_3
carna	gismu   	-car-		      	x_1 turns or rotates around axis x_2 in direction x_3
cartu	gismu   	-cat-		      	x_1 is a chart or diagram of x_2 showing information x_3
carvi	gismu   	-cav-		      	x_1 rains or showers to x_2 from x_3
casnu	gismu   	-snu-		      	x_1 discusses or talks about x_2
catke	gismu   	-ca'e-		      	x_1 shoves or pushes x_2 at location x_3
catlu	gismu   	-cta-		      	x_1 looks at x_2
catni	gismu   	-ca'i-		      	x_1 has authority over x_2 on the basis of x_3
catra	gismu			      	x_1 kills x_2 by action x_3
caxno	gismu   	-cax-		      	x_1 is shallow in direction x_2 from reference point x_3
cecla	gismu   	-cel-   	-ce'a-	      	x_1 launches projectile or missile x_2 propelled by x_3
cecmu	gismu   	-cem-   	-ce'u-	      	x_1 is a community or colony of organisms x_2
cedra	gismu			      	x_1 is an era or age characterized by x_2
cenba	gismu   	-cne-		      	x_1 varies in property or quantity x_2 in amount x_3
censa	gismu   	-ces-		      	x_1 is holy or sacred to x_2
centi	gismu   	-cen-		      	x_1 is a hundreth of x_2 in dimension or aspect x_2
cerda	gismu   	-ced-		      	x_1 is an inheritor of or heir to x_2 from x_3 according to rule x_4
cerni	gismu   	-cer-		      	x_1 is a morning of day x_2 at location x_3
certu	gismu   	-cre-		      	x_1 is an expert or is skilled at x_2
cevni	gismu   	-cev-   	-cei-	      	x_1 is a god of people or religion x_2 with dominion over x_3
cfari	gismu   	-cfa-		      	x_1 commences, begins, or starts
cfika	gismu   	-fik-   	-fi'a-	      	x_1 is a work of fiction about plot or theme x_2 by author x_3
cfila	gismu   	-cfi-		      	x_1 is a flaw or defect in x_2 causing x_3
cfine	gismu			      	x_1 is a wedge of material x_2
cfipu	gismu   	-fi'u-		      	x_1 confuses or baffles x_2 due to property x_3
ciblu	gismu   	-blu-		      	x_1 is blood or vital fluid of organism x_2
cicna	gismu			      	x_1 is cyan or torquoise
cidja	gismu   	-dja-		      	x_1 is food or nutriment for x_2
cidni	gismu   	-cid-		      	x_1 is the knee, elbow, or other hinged joint of limb x_2 of body x_3
cidro	gismu   	-dro-		      	x_1 is a quantity of hydrogen
cifnu	gismu   	-cif-		      	x_1 is an infant or baby of species x_2
cigla	gismu   	-cig-		      	x_1 is a gland secreting x_2 of body x_3
cikna	gismu   	-cik-		      	x_1 is awake
cikre	gismu			      	x_1 repairs or mends x_2 for use x_3
ciksi	gismu   	-cki-		      	x_1 explains x_2 to x_3 with explanation x_4
cilce	gismu   	-cic-		      	x_1 is wild or untamed
cilmo	gismu   	-cim-		      	x_1 is moist or damp with liquid x_2
cilre	gismu   	-cli-		      	x_1 learns x_2 about x_3 from x_4 by method x_5
cilta	gismu   	-cil-		      	x_1 is a thread of material x_2
cimde	gismu			      	x_1 is a dimension of space or object x_2 according to rule or model x_3
cimni	gismu			      	x_1 in infinite in property or dimension x_2 to degree or of type x_3
cinba	gismu			      	x_1 kisses x_2 at x_3
cindu	gismu			      	x_1 is an oak of species x_2
cinfo	gismu			      	x_1 is a lion of species x_2
cinje	gismu   	-cij-		      	x_1 is a wrinkle in x_2
cinki	gismu			      	x_1 is an insect of species x_2
cinla	gismu			      	x_1 is thin in dimension x_2
cinmo	gismu   	-cni-		      	x_1 feels emotion x_2 about x_3
cinri	gismu   	-ci'i-		      	x_1 interests x_2
cinse	gismu   	-cin-		      	x_1 in activity or state x_2 exhibits sexuality x_3
cinta	gismu			      	x_1 is paint of substance x_2 in a base of x_3
cinza	gismu			      	x_1 is a pincer or tongs for x_2 to pinch x_3
cipni	gismu   	-cpi-		      	x_1 is a bird of species x_2
cipra	gismu   	-cip-		      	x_1 is a test of x_2 in subject x_3
cirko	gismu   	-cri-		      	x_1 loses x_2 at x_3
cirla	gismu			      	x_1 is a quantity of cheese from source x_2
ciska	gismu   	-ci'a-		      	x_1 writes x_2 on x_3 using x_4
cisma	gismu			      	x_1 smiles
ciste	gismu   	-ci'e-		      	x_1 is a system with structure x_2, components x_3, displaying property x_4
citka	gismu   	-cti-		      	x_1 eats x_2
citno	gismu   	-cit-   	-ci'o-	      	x_1 is young in that it has x_2 (ka)
citri	gismu   	-cir-		      	x_1 is a history of x_2 according to x_3
citsi	gismu			      	x_1 is a season defined by x_2 of year(s) x_3
civla	gismu   	-civ-		      	x_1 is a flea or louse of species x_2 parasitic on x_3
cizra	gismu   	-ciz-		      	x_1 is strange to x_2 in property x_3
ckabu	gismu			      	x_1 is a quantity of rubber from source x_2 made of x_3
ckafi	gismu   	-kaf-		      	x_1 is a quantity of coffee from source x_2
ckaji	gismu   	-kai-		      	x_1 is characterized by property x_2
ckana	gismu   	-cka-		      	x_1 is a bed of material x_2 for holding or supporting x_3
ckape	gismu   	-cap-		      	x_1 is dangerous for x_2
ckasu	gismu   	-cas-		      	x_1 ridicules x_2 about x_3 by doing x_4
ckeji	gismu   	-kej-   	-cke-	      	x_1 feels ashamed under conditions x_2 before audience x_3
ckiku	gismu   	-kik-		      	x_1 is a key fitting lock x_2 with properties x_3
ckilu	gismu   	-ci'u-		      	x_1 is a scale of units for measuring x_2
ckini	gismu   	-ki'i-		      	x_1 is related to x_2 by relationship x_3
ckire	gismu   	-kir-		      	x_1 is grateful or thankful to x_2 for x_3
ckule	gismu   	-kul-   	-cu'e-	      	x_1 is a school at x_2, teaching x_3 to x_4, operated by x_5
ckunu	gismu   	-ku'u-		      	x_1 is a conifer of species x_2 with cones x_3
cladu	gismu   	-lau-		      	x_1 is loud at observation point x_2
clani	gismu   	-cla-		      	x_1 is long in dimension x_2
claxu	gismu   	-cau-		      	x_1 lacks x_2
clika	gismu			      	x_1 is lichen or moss of species x_2 growing on x_3
clira	gismu   	-lir-		      	x_1 (nu) is early by standard x_2
clite	gismu   	-lit-		      	x_1 is polite in matter x_2 according to custom x_3
cliva	gismu   	-liv-   	-li'a-	      	x_1 leaves x_2 via x_3
clupa	gismu   	-cup-		      	x_1 is a loop of material x_2
cmaci	gismu			      	x_1 is mathematics of type x_2
cmalu	gismu   	-cma-		      	x_1 is small in dimension x_2
cmana	gismu   	-ma'a-		      	x_1 is a mountain projecting from x_2
cmavo	gismu   	-ma'o-		      	x_1 is a structure word of group x_2, meaning x_3, used in language x_4
cmene	gismu   	-cme-   	-me'e-	      	x_1 is the name for x_2 used by x_3
cmila	gismu   	-mi'a-		      	x_1 laughs
cmima	gismu   	-mim-   	-cmi-	      	x_1 is a member of x_2
cmoni	gismu   	-cmo-   	-co'i-	      	x_1 moans or howls x_2 expressing x_3
cnano	gismu   	-na'o-		      	x_1 is an average in property or amount x_2 among set x_3
cnebo	gismu   	-neb-   	-ne'o-	      	x_1 is the neck of x_2
cnemu	gismu   	-nem-   	-ne'u-	      	x_1 rewards x_2 for atypical event or property x_3 with x_4
cnici	gismu   	-nic-		      	x_1 is neat or orderly in property x_2
cnino	gismu   	-nin-   	-ni'o-	      	x_1 is new to x_2 in property x_3
cnisa	gismu   	-nis-		      	x_1 is a quantity of lead
cnita	gismu   	-nit-   	-ni'a-	      	x_1 is directly beneath or below x_2 in reference frame x_3
cokcu	gismu   	-cko-		      	x_1 soaks up x_2 from x_3 into x_4
condi	gismu   	-con-   	-cno-   	-coi-      	x_1 is deep in property x_2 away from x_3
cortu	gismu   	-cor-   	-cro-	      	x_1 feels pain at x_2
cpacu	gismu   	-cpa-		      	x_1 acquires or gets x_2 from x_3
cpana	gismu			      	x_1 on top of x_2 in frame of reference x_3
cpare	gismu   	-par-		      	x_1 climbs on x_2 in direction x_3 using x_4
cpedu	gismu   	-cpe-		      	x_1 requests or asks for x_2 from x_3 in manner x_4
cpina	gismu			      	x_1 is pungent or irritating to sense x_2
cradi	gismu			      	x_1 broadcasts or transmits x_2 via station or frequency x_3 to receiver x_4
crane	gismu   	-cra-		      	x_1 is in front of x_2 facing x_3
creka	gismu   	-cek-		      	x_1 is a shirt of material x_2
crepu	gismu   	-rep-		      	x_1 harvests x_2 from x_3
cribe	gismu   	-rib-		      	x_1 is a bear of species x_2
crida	gismu   	-rid-		      	x_1 is a fairy, elf, or other mythical humanoid of religion x_2
crino	gismu   	-ri'o-		      	x_1 is green
cripu	gismu   	-rip-		      	x_1 is a bridge across x_2 between x_3 and x_4
crisa	gismu   	-cis-		      	x_1 is summer of year x_2 at location x_3
critu	gismu			      	x_1 is autumn of year x_2 at location x_3
ctaru	gismu			      	x_1 as a tide in x_2 caused by x_3
ctebi	gismu   	-teb-		      	x_1 is the lip of orifice x_2 of body x_3
cteki	gismu   	-tek-   	-ce'i-	      	x_1 is a tax on x_2 levied against x_3 by authority or collector x_4
ctile	gismu			      	x_1 is a quantity of petroleum from source x_2
ctino	gismu   	-ti'o-		      	x_1 as a shadow of x_2 made by light source x_3
ctuca	gismu   	-ctu-		      	x_1 teaches to x_2 ideas x_3 about subject x_4 by method x_5
cukla	gismu   	-cuk-		      	x_1 is round
cukta	gismu   	-cku-		      	x_1 is a book with work x_2 by author x_3 for audience x_4 in medium x_5
culno	gismu   	-clu-		      	x_1 is full of x_2
cumki	gismu   	-cum-   	-cu'i-	      	x_1 is possible	See {fau}
cumla	gismu   	-cul-		      	x_1 is modest or humble about x_2
cunmi	gismu			      	x_1 is a quantity of millet or grain of species x_2
cunso	gismu   	-cun-   	-cu'o-	      	x_1 is random under conditions x_2 with probability distribution x_3
cuntu	gismu   	-cu'u-		      	x_1 is an affair or organized activity involving people x_2
cupra	gismu   	-pra-		      	x_1 produces x_2 by process x_3
curmi	gismu   	-cru-		      	x_1 allows or permits x_2
curnu	gismu   	-cur-		      	x_1 is a worm of species x_2
curve	gismu   	-cuv-		      	x_1 is pure in property x_2
cusku	gismu   	-cus-   	-sku-	      	x_1 says x_2 for audience x_3 via medium x_4
cutci	gismu   	-cuc-		      	x_1 is a shoe for covering x_2 of material x_3
cutne	gismu   	-cut-		      	x_1 is the chest of x_2
cuxna	gismu   	-cux-   	-cu'a-	      	x_1 chooses x_2 from set x_3
dacru	gismu   	-dac-		      	x_1 is a drawer in x_2 for contents x_3
dacti	gismu   	-dai-		      	x_1 is a material object enduring in space-time; x_1 is a thing
dadjo	gismu   	-daj-		      	x_1 is Taoist in aspect x_2
dakfu	gismu   	-dak-		      	x_1 is a knife for cutting x_2 with blade material x_3
dakli	gismu			      	x_1 is a bag or sack containing x_2 of material x_3
damba	gismu   	-dab-   	-da'a-	      	x_1 fights or struggles with x_2 over issue x_3
damri	gismu			      	x_1 is a drum, gong or other percussion instrument with beater x_2
dandu	gismu   	-dad-		      	x_1 is suspended or hangs from x_2 at joint x_3
danfu	gismu   	-daf-		      	x_1 is the answer or solution to question or problem x_2
danlu	gismu   	-dal-   	-da'u-	      	x_1 is a creature of species x_2
danmo	gismu   	-dam-		      	x_1 is smoke from source x_2
danre	gismu   	-da'e-		      	x_1 puts pressure on or applies force to x_2
dansu	gismu			      	x_1 dances to accompaniment or rhythm x_2
danti	gismu   	-dan-		      	x_1 is a bullet, missile, or other ballistic projectile for firing by x_2
daplu	gismu   	-plu-		      	x_1 is an island of material or property x_2 surrounded by x_3
dapma	gismu   	-dap-		      	x_1 condemns or curses x_2 to fate x_3
dargu	gismu   	-dag-		      	x_1 is a road or highway to x_2 from x_3 via x_4
darlu	gismu   	-dau-		      	x_1 argues for stance x_2 against stance x_3
darno	gismu   	-dar-   	-da'o-	      	x_1 is distant from x_2 in property x_3
darsi	gismu			      	x_1 shows audacity in behavior x_2
darxi	gismu   	-dax-   	-da'i-	      	x_1 hits or strikes x_2 with x_3 at x_4
daski	gismu			      	x_1 is a pocket or pouch in x_2
dasni	gismu   	-das-		      	x_1 wears x_2 as garment of type x_3
daspo	gismu   	-spo-		      	x_1 destroys x_2
dasri	gismu   	-sri-		      	x_1 is a ribbon or strip of material x_2
datka	gismu			      	x_1 is a duck of species x_2
datni	gismu			      	x_1 is information about x_2 gathered by method x_3
datru	experimental gismu			      	x_1 (event) is occurring on day x_2 of month x_3 of year x_4 in calendar x_5
decti	gismu   	-dec-		      	x_1 is a tenth of x_2 in dimension or aspect x_3
degji	gismu   	-deg-		      	x_1 is a finger, toe, or digit on limb x_2 of body x_3
dejni	gismu   	-dej-		      	x_1 owes debt x_2 to creditor x_3 in return for x_4
dekpu	gismu			      	x_1 is x_2 non-metric volume units in standard x_3 with subunits x_4
dekto	gismu   	-dek-		      	x_1 is ten of x_2 in dimension or aspect x_3
delno	gismu   	-del-   	-de'o-	      	x_1 is x_2 candela in luminosity
dembi	gismu   	-deb-		      	x_1 is a legume, bean, or pea from plant x_2
denci	gismu   	-den-   	-de'i-	      	x_1 is a tooth of x_2
denmi	gismu   	-dem-		      	x_1 is dense in property x_2 at location x_3
denpa	gismu   	-dep-   	-de'a-	      	x_1 waits or pauses for x_2 at state x_3 before doing x_4
dertu	gismu   	-der-   	-de'u-	      	x_1 is a quantity of soil or dirt from x_2 of composition x_3
derxi	gismu   	-dre-		      	x_1 is a heap or stack of materials x_2 at location x_3
desku	gismu   	-des-		      	x_1 is shakes or vibrates from force x_2
detri	gismu   	-det-		      	x_1 is the date of event x_2 at location x_3 by calendar x_4
dicra	gismu   	-dir-		      	x_1 interrupts or disrupts x_2 due to quality x_3
didni	experimental gismu			      	x_1 deduces/reasons by deduction/establishes by deduction that x_2 is true about x_3 from general rule x_4
dikca	gismu   	-dic-		      	x_1 is electricity in x_2 of polarity or quantity x_3
diklo	gismu   	-klo-		      	x_1 is confined to location x_2 within range x_3
dikni	gismu   	-dik-		      	x_1 is regular or periodic in x_2 with interval x_3
dilcu	gismu			      	x_1 is a quotient of, x_2 divided by x_3, leaving remainder x_4
dilnu	gismu   	-dil-		      	x_1 is a cloud of material x_2 in air mass x_3 at elevation x_4
dimna	gismu   	-dim-		      	x_1 is a fate or destiny of x_2
dinju	gismu   	-dij-   	-di'u-	      	x_1 is a building for purpose x_2
dinko	gismu   	-di'o-		      	x_1 is a nail or tack of type x_2 of material x_3
dirba	gismu   	-dib-		      	x_1 is dear or precious to x_2
dirce	gismu   	-di'e-		      	x_1 radiates or emits x_2
dirgo	gismu   	-dig-		      	x_1 is a drop of x_2 in surrounding material x_3
ditcu	experimental gismu			      	x_1 is the time-duration/period of event x_2.
dizlo	gismu   	-diz-   	-dzi-	      	x_1 is low or down in reference frame x_2 compared to height x_3
djacu	gismu   	-jac-   	-jau-	      	x_1 is a quantity of water
djedi	gismu   	-dje-   	-dei-	      	x_1 is x_2 full days long
djica	gismu   	-dji-		      	x_1 desires or wants x_2 for purpose x_3
djine	gismu   	-jin-		      	x_1 is a ring of material x_2 with inside, outside diameters x_3, x_4
djuno	gismu   	-jun-   	-ju'o-	      	x_1 knows fact x_2 about x_3 by epistemology x_4
donri	gismu   	-dor-   	-do'i-	      	x_1 is daytime of day x_2 at location x_3
dotco	gismu   	-dot-   	-do'o-	      	x_1 is German in aspect x_2
draci	gismu			      	x_1 is a drama or play about x_2 by x_3 for audience x_4 with actors x_4
drani	gismu   	-dra-		      	x_1 is correct in property or aspect x_2 for situation x_3
drata	gismu   	-dat-		      	x_1 is not the same as x_2
drudi	gismu   	-rud-   	-dru-	      	x_1 is a roof or lid of x_2
dugri	gismu   	-dug-		      	x_1 is the logarithm of x_2 with base x_3
dukse	gismu   	-dus-   	-du'e-	      	x_1 is too much in x_2 (ka) for purpose x_3 (nu) to take place	Excess. See {banzu}
dukti	gismu   	-dut-		      	x_1 is opposite or contrary to x_2 in property or on scale x_3
dunda	gismu   	-dud-   	-du'a-	      	x_1 gives or donates x_2 to x_3
dunja	gismu   	-duj-		      	x_1 freezes at temperature x_2 and pressure x_3
dunku	gismu   	-duk-   	-du'u-	      	x_1 is distressed or anguished by x_2
dunli	gismu   	-dun-   	-du'i-	      	x_1 is equal to x_2 in property, dimension, or quantity x_3
dunra	gismu   	-dur-		      	x_1 is winter of year x_2 at location x_3
dzena	gismu   	-dze-		      	x_1 is an elder or ancestor of x_2 by bond x_3
dzipo	gismu   	-zip-   	-zi'o-	      	x_1 is Antarctican in aspect x_2
facki	gismu   	-fak-   	-fa'i-	      	x_1 discovers x_2 about x_3
fadni	gismu   	-fad-		      	x_1 is ordinary in property x_2 among members of x_3
fagri	gismu   	-fag-		      	x_1 is a fire in fuel x_2 burning in x_3
falnu	gismu   	-fan-		      	x_1 is a sail for gathering x_2 on vehicle x_3
famti	gismu			      	x_1 is an aunt or uncle of x_2 by bond x_3
fancu	gismu			      	x_1 is a function mapping domain x_2 to range x_3 defined by rule x_4
fange	gismu			      	x_1 is alien or unfamiliar to x_2 in property x_3
fanmo	gismu   	-fam-   	-fa'o-	      	x_1 is an end or finish of or process x_2
fanri	gismu			      	x_1 is a factory or mill producing x_2 from x_3
fanta	gismu			      	x_1 prevents x_2 from occurring
fanva	gismu			      	x_1 translates x_2 to language x_3 from language x_4 with result x_5
fanza	gismu   	-faz-		      	x_1 annoys x_2
fapro	gismu   	-fap-   	-pro-	      	x_1 opposes x_2 about x_3
farlu	gismu   	-fal-   	-fa'u-	      	x_1 falls to x_2 from x_3 in gravity well x_4
farna	gismu   	-far-   	-fa'a-	      	x_1 is the direction of x_2 from origin x_3
farvi	gismu   	-fav-		      	x_1 evolves or develops into x_2 from x_3 through stages x_4
fasnu	gismu   	-fau-		      	x_1 occurs or happens
fatci	gismu   	-fac-		      	x_1 is a fact
fatne	gismu   	-fat-   	-fa'e-	      	x_1 is in reverse order from x_2
fatri	gismu   	-fai-		      	x_1 is distributed among x_2 with shares x_3
febvi	gismu   	-feb-		      	x_1 boils at temperature x_2 and pressure x_3
femti	gismu   	-fem-		      	x_1 is 10 to the negative fifteenth of x_2 in dimension x_3
fendi	gismu   	-fed-		      	x_1 divides x_2 into x_3 by method x_4
fengu	gismu   	-feg-   	-fe'u-	      	x_1 is angry at x_2 for x_3
fenki	gismu   	-fek-		      	x_1 (person, nu) is crazy
fenra	gismu   	-fer-   	-fe'a-	      	x_1 is a crack in x_2
fenso	gismu   	-fen-   	-fe'o-	      	x_1 sews or stitches x_2 together with tool x_3 using filament x_4
fepni	gismu   	-fep-   	-fei-	      	x_1 is measured in money subunits as quantity x_2 in monetary system x_3
fepri	gismu			      	x_1 is the lung of x_2
ferti	gismu   	-fre-		      	x_1 is fertile for growing x_2
festi	gismu   	-fes-		      	x_1 is waste from x_2
fetsi	gismu   	-fet-   	-fe'i-	      	x_1 is a female of species x_2 with feminine traits x_3
figre	gismu   	-fig-		      	x_1 is a fig of species x_2
filso	gismu   	-fis-		      	x_1 is Palestinian in aspect x_2
finpe	gismu   	-fip-   	-fi'e-	      	x_1 is a fish of species x_2
finti	gismu   	-fin-   	-fi'i-	      	x_1 invents or creates x_2 for purpose x_3 from existing ideas x_4
firca	experimental gismu			      	x_1 flirts with x_2 by doing x_3
flalu	gismu   	-fla-		      	x_1 is a law specifying x_2 for community x_3 under conditions x_4 by lawgiver x_5
flani	gismu			      	x_1 is a flute, fife, or recorder
flecu	gismu   	-fle-		      	x_1 is a current in x_2 flowing towards x_3 from x_4
fliba	gismu   	-fli-		      	x_1 fails at doing x_2
flira	gismu   	-fir-		      	x_1 is the face of x_2
foldi	gismu   	-flo-   	-foi-	      	x_1 is a field of material x_2
fonmo	gismu   	-fom-   	-fo'o-	      	x_1 is a quantity of  foam or froth of material x_2 with bubbles of x_3
fonxa	gismu   	-fon-		      	x_1 is a phone or modem in network x_2
forca	gismu   	-fro-		      	x_1 is a fork for x_2 with tines x_3 on base x_4
fraso	gismu   	-fas-		      	x_1 is French in aspect x_2
frati	gismu   	-fra-		      	x_1 responds or reacts with action x_2 to x_3
fraxu	gismu   	-fax-		      	x_1 forgives x_2 for x_3
frica	gismu   	-fic-		      	x_1 differs from x_2 in x_3
friko	gismu   	-fi'o-		      	x_1 is African in aspect x_2
frili	gismu   	-fil-		      	x_1 is easy for x_2
frinu	gismu			      	x_1 is a fraction of x_2 divided by x_3
friti	gismu   	-fit-		      	x_1 offers x_2 to x_3 with conditions x_4
